wav_path,status,native_sr_hz,duration_s,n_segments,resampled,error_message
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190900.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191000.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191100.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191200.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191300.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191400.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191500.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191600.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191700.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191800.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528191900.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192000.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192100.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192200.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192300.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192400.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192500.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192600.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192700.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192800.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528192900.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193000.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193100.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193200.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193300.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193400.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193500.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193600.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193700.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193800.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528193900.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528194000.wav,ok,288000,60.01,12,True,
